,0,1
gender,-0.174220515626,0.224048218675
SeniorCitizen,-0.156155424584,0.357784769098
Partner,-0.132617087047,0.345515996701
Dependents,-0.605915122734,-0.0627059235841
tenure,-0.0501819840332,-0.0374869246888
PhoneService,-2.05689400066,-1.21762844307
MultipleLines,-0.14679685965,0.347713321871
OnlineSecurity,-0.963609081845,-0.454181582397
OnlineBackup,-0.648078311645,-0.169168582164
DeviceProtection,-0.66858692979,-0.186013641017
TechSupport,-1.38582933378,-0.864316837666
StreamingTV,-0.581664704057,-0.0595504396297
StreamingMovies,-0.304909436843,0.214403723765
PaperlessBilling,0.207168019136,0.658610927757
MonthlyCharges,0.042443525825,0.0569932450601
intercept,-1.69044199249,-0.874349448908
